Pregunta,Respuesta
"¿Cuál es el objeto del Reglamento del Voluntariado Universitario de la UTEC?","Regular los aspectos generales del voluntariado universitario en la Universidad de Ingeniería y Tecnología."
"¿Quiénes están obligados a cumplir el Reglamento del Voluntariado Universitario?","Estudiantes de pregrado, profesores, personal administrativo y autoridades de UTEC."
"¿Qué significa 'Ciclo Académico' según el Reglamento?","Compuesto por dos periodos académicos regulares y un periodo académico extraordinario."
"¿Cómo se define el voluntariado según la Ley N° 20238?","Labor o actividad realizada sin fines de lucro, de forma gratuita y sin vínculos ni responsabilidades contractuales."
"¿Cuáles son los objetivos del voluntariado universitario en la UTEC?","Incorporar la participación social de los estudiantes en su formación, vincular aprendizaje teórico y experiencial, fomentar habilidades de reflexión crítica, promover participación ética y ciudadana, y generar empatía en los estudiantes."
"¿Cuántas horas de voluntariado deben realizar los estudiantes de UTEC para egresar?","36 horas en 3 ciclos académicos regulares o extraordinarios, consecutivos o no."
"¿Qué es CIRSO en el contexto del Reglamento?","CIRSO se refiere al Centro de Impacto y Responsabilidad Social."
"¿Qué es un Ciclo Académico Extraordinario?","Es el período académico de clases comprendido de enero a marzo."
"¿Qué actividades se pueden realizar bajo el Programa de Voluntariado UTEC?","Realizar talleres prácticos y refuerzos educativos en colegios de áreas de pobreza urbana, utilizando principios de educación STEM."
"¿Cómo se reportan y validan las horas de voluntariado en UTEC?","Las horas se deben registrar, validar y reportar ante CIRSO, siguiendo las modalidades establecidas en el Reglamento."
"¿Cuáles son las condiciones para que una actividad sea considerada como parte del voluntariado en UTEC?","La actividad debe ser altruista, no remunerada, y no debe generar créditos académicos."
"¿Qué tipo de actividades no son consideradas como voluntariado en UTEC?","Actividades que generen algún tipo de remuneración o beneficio económico directo."
"¿Cómo puede un estudiante de UTEC proponer una actividad de voluntariado?","Presentando una propuesta escrita al CIRSO para su evaluación y aprobación."
"¿Qué sucede si un estudiante no cumple con las horas de voluntariado requeridas?","El estudiante no podrá graduarse hasta completar las horas de voluntariado establecidas."
"¿Existe alguna exención para la realización de voluntariado en UTEC?","Sí, casos especiales evaluados por el CIRSO pueden ser exentos de cumplir con el requisito de voluntariado."
"¿Qué tipo de seguimiento se realiza a las actividades de voluntariado?","El CIRSO realiza seguimiento y evaluación de las actividades para asegurar su alineación con los objetivos educativos."
"¿Cómo se reconoce la participación en actividades de voluntariado?","A través de un certificado emitido por el CIRSO que acredita las horas de voluntariado realizadas."
"¿Puede un estudiante de UTEC realizar voluntariado fuera de la universidad?","Sí, siempre y cuando la actividad sea aprobada por el CIRSO y alineada con los objetivos del programa."
"¿Qué papel juegan los profesores y el personal administrativo en el programa de voluntariado?","Pueden participar como asesores, coordinadores o facilitadores en las actividades de voluntariado."
"¿Cómo se incorpora el voluntariado en el proceso educativo de UTEC?","A través de la integración de experiencias de aprendizaje servicio que complementan la formación académica."
"¿Cuál es el rol del Centro de Impacto y Responsabilidad Social (CIRSO) en el voluntariado?","CIRSO es el ente responsable de coordinar, supervisar y validar las actividades de voluntariado."
"¿Es posible realizar voluntariado durante los periodos de vacaciones?","Sí, los estudiantes pueden participar en actividades de voluntariado durante sus periodos vacacionales."
"¿Qué sucede si un estudiante no cumple con el mínimo de horas de voluntariado por ciclo?","El estudiante deberá completar las horas pendientes en ciclos subsiguientes para cumplir con el requisito total antes de graduarse."
"¿Pueden participar los estudiantes de posgrado en el programa de voluntariado?","Sí, aunque no es un requisito para su graduación, los estudiantes de posgrado son bienvenidos a participar en actividades de voluntariado."
"¿Cómo se garantiza la calidad y pertinencia de las actividades de voluntariado?","A través de una evaluación y aprobación previa por parte del CIRSO y un seguimiento constante durante la realización del voluntariado."
"¿Existe alguna restricción en el tipo de organizaciones con las que se puede hacer voluntariado?","Las actividades de voluntariado deben realizarse en organizaciones sin fines de lucro y que cumplan con los valores y principios de UTEC."
"¿Qué se espera que aprendan los estudiantes a través de su participación en el voluntariado?","Se espera que desarrollen habilidades sociales, un sentido de responsabilidad comunitaria y una mejor comprensión de las realidades sociales."
